Experiment Name,Specimen Name,Well Name,singlets(chlorophyll) Parent Name,singlets(chlorophyll) #Events,singlets(chlorophyll) %Parent,singlets(chlorophyll) %Total,singlets(chlorophyll) FSC-A Median,singlets(chlorophyll) SSC-A Median,singlets(chlorophyll) PerCP-Cy5-5-A Median,chlo_count Parent Name,chlo_count #Events,chlo_count %Parent,chlo_count %Total,chlo_count FSC-A Median,chlo_count SSC-A Median,chlo_count PerCP-Cy5-5-A Median,sphero beads Parent Name,sphero beads #Events,sphero beads %Parent,sphero beads %Total,sphero beads FSC-A Median,sphero beads SSC-A Median,sphero beads PerCP-Cy5-5-A Median,P1 Parent Name,P1 #Events,P1 %Parent,P1 %Total,P1 FSC-A Median,P1 SSC-A Median,P1 PerCP-Cy5-5-A Median,P2 Parent Name,P2 #Events,P2 %Parent,P2 %Total,P2 FSC-A Median,P2 SSC-A Median,P2 PerCP-Cy5-5-A Median,P3 Parent Name,P3 #Events,P3 %Parent,P3 %Total,P3 FSC-A Median,P3 SSC-A Median,P3 PerCP-Cy5-5-A Median
Olivia_171123,Specimen_010,A1,intact,76,21.8,1.2,35324,12917,256,All Events,58,1,1,232908,36955,15890,All Events,1,0,0,105023,188978,147,All Events,25,0.4,0.4,86485,22737,2514,All Events,34,0.6,0.6,262143,32212,10515,All Events,11,0.2,0.2,213409,31754,7630
Olivia_171123,Specimen_010,B1,intact,37,11.8,0.7,112642,24968,546,All Events,17,0.3,0.3,262143,66919,16004,All Events,0,0,0,,,,All Events,35,0.6,0.6,110584,35104,1981,All Events,12,0.2,0.2,262143,151835,7180,All Events,13,0.2,0.2,242089,51389,7394
Olivia_171123,Specimen_010,C1,intact,80,6.6,1.2,76216,19349,382,All Events,110,1.7,1.7,169690,36501,20354,All Events,0,0,0,,,,All Events,44,0.7,0.7,96873,26621,2585,All Events,32,0.5,0.5,262143,71236,8192,All Events,34,0.5,0.5,130494,33427,8382
Olivia_171123,Specimen_010,D1,intact,63,6.6,1.2,119837,25530,256,All Events,61,1.2,1.2,236104,47531,18967,All Events,0,0,0,,,,All Events,57,1.1,1.1,96289,22532,2887,All Events,15,0.3,0.3,262143,110183,10182,All Events,27,0.5,0.5,260820,49194,8627
Olivia_171123,Specimen_010,E1,intact,70,16.6,1.6,62493,16755,330,All Events,90,2.1,2.1,238964,52093,15029,All Events,0,0,0,,,,All Events,46,1.1,1.1,59784,23480,2970,All Events,27,0.6,0.6,262143,80829,8783,All Events,28,0.6,0.6,235334,46155,9372
Olivia_171123,Specimen_010,F1,intact,123,11.1,2,80233,16098,585,All Events,224,3.7,3.7,110297,27243,10030,All Events,0,0,0,,,,All Events,137,2.3,2.3,53120,17381,3311,All Events,97,1.6,1.6,262143,65727,3607,All Events,58,1,1,170774,34559,8312
Olivia_171123,Specimen_010,G1,intact,86,9.9,2,73992,17394,316,All Events,194,4.5,4.5,101901,21637,11516,All Events,0,0,0,,,,All Events,79,1.8,1.8,43754,15303,4084,All Events,43,1,1,262143,47195,2199,All Events,40,0.9,0.9,115068,27593,8881
Olivia_171123,Specimen_010,H1,intact,275,13,4.5,71943,15928,305,All Events,415,6.8,6.8,67459,21314,29455,All Events,2,0,0,111455,192860,2702,All Events,53,0.9,0.9,77370,24657,4582,All Events,12,0.2,0.2,262143,102815,89303,All Events,58,0.9,0.9,44207,12305,9167
Olivia_171123,Specimen_011,A2,intact,60,11.3,1.7,76707,14802,601,All Events,56,1.6,1.6,149911,30173,19210,All Events,0,0,0,,,,All Events,47,1.3,1.3,90895,19710,2062,All Events,28,0.8,0.8,262143,32091,5592,All Events,23,0.6,0.6,262143,51327,8994
Olivia_171123,Specimen_011,B2,intact,45,10.1,1.4,88945,18362,378,All Events,47,1.5,1.5,253114,33942,13181,All Events,0,0,0,,,,All Events,47,1.5,1.5,70658,19212,2526,All Events,21,0.7,0.7,262143,65768,10649,All Events,32,1,1,234879,35292,9110
Olivia_171123,Specimen_011,C2,intact,66,6.4,1.8,88043,22972,418,All Events,85,2.3,2.3,241963,44501,18055,All Events,0,0,0,,,,All Events,53,1.4,1.4,90527,23143,2950,All Events,33,0.9,0.9,262143,51749,10282,All Events,32,0.9,0.9,207828,34181,8103
Olivia_171123,Specimen_011,D2,intact,99,8.5,2.3,91088,20457,402,All Events,128,3,3,181076,42775,19275,All Events,1,0,0,84071,149894,207,All Events,65,1.5,1.5,56319,17409,2870,All Events,37,0.9,0.9,262143,63703,20089,All Events,39,0.9,0.9,167237,33456,8628
Olivia_171123,Specimen_011,E2,intact,112,9.8,2.8,64247,16943,351,All Events,145,3.6,3.6,159800,37020,19122,All Events,0,0,0,,,,All Events,25,0.6,0.6,55935,17766,3086,All Events,36,0.9,0.9,262143,52006,27353,All Events,34,0.9,0.9,150014,29549,9178
Olivia_171123,Specimen_011,F2,intact,130,12.1,3.4,73722,13726,256,All Events,188,4.9,4.9,104746,25032,12015,All Events,0,0,0,,,,All Events,74,1.9,1.9,47317,14033,3652,All Events,36,0.9,0.9,262143,50869,12649,All Events,59,1.5,1.5,88258,23686,8772
Olivia_171123,Specimen_011,G2,intact,162,13.8,4.4,71221,15223,538,All Events,223,6.1,6.1,92335,21251,14986,All Events,0,0,0,,,,All Events,44,1.2,1.2,49022,12769,4322,All Events,26,0.7,0.7,262143,75388,40821,All Events,70,1.9,1.9,59835,17185,8460
Olivia_171123,Specimen_011,H2,intact,153,10.3,3.9,68049,17868,732,All Events,278,7.1,7.1,60391,18047,31947,All Events,0,0,0,,,,All Events,29,0.7,0.7,37122,21500,4471,All Events,25,0.6,0.6,262143,59586,103732,All Events,14,0.4,0.4,50469,8587,8193
Olivia_171123,Specimen_012,A3,intact,58,15.1,2.6,93026,22474,521,All Events,14,0.6,0.6,262143,58606,29058,All Events,0,0,0,,,,All Events,41,1.8,1.8,156550,30236,1904,All Events,11,0.5,0.5,262143,65882,5113,All Events,6,0.3,0.3,262143,89039,9666
Olivia_171123,Specimen_012,B3,intact,30,14.4,1.8,63362,33579,810,All Events,23,1.4,1.4,262143,166152,23391,All Events,1,0.1,0.1,88766,172024,6196,All Events,25,1.5,1.5,262143,69247,1996,All Events,4,0.2,0.2,169195,228728,2635,All Events,6,0.4,0.4,262143,136539,8895
